Symbol,Name,,,,,,,
AEE,Ameren Corp,79.63,77.71,78.38,"1,365,693",0.98,,1.27
AEFC,Aegon Funding Company Llc 5.10%,25.58,25.48,25.5,"27,317",0.08,,0.31
AEG,Aegon N.V.,2.77,2.72,2.75,"1,354,950",0.1,,3.77
AEL,American Equity Investment Life,23.75,22.99,23.44,"400,887",0.19,,0.82
AEL-A,American Equity Investment Life Holding,23.72,23.44,23.6,"13,879",0.24,,1.03
AEL-B,American Equity Investment Life Holding,25.59,25.29,25.59,"12,158",0.29,,1.15
AEM,Agnico-Eagle Mines Ltd,83.45,80.09,83.12,"934,106",3.69,,4.65
AEO,American Eagle Outfitters,13.77,12.93,13.41,"16,423,952",0.21,,1.59
AEP,American Electric Power Company,81.13,79.19,79.91,"2,072,860",0.93,,1.18
AEP-B,American Elec Pwr Co. Inc [Aep/Pb],49.34,48.94,49.12,"11,574",0.58,,1.19
AEP-C,American Electric Power Company Inc,49.37,48.76,48.99,"24,139",0.66,,1.37
AER,Aercap Holdings N.V.,29.35,27.98,28.84,"1,205,876",-0.13,,0.45
AES,The Aes Corp,17.73,17.32,17.54,"2,915,990",0.13,,0.75
AFB,Alliance National Municipal,13.65,13.47,13.65,"53,253",0.19,,1.41
AFC,Allied Capital Corp,25.92,25.62,25.81,"3,269",0.19,,0.74
AFG,American Financial Group,68.58,66.26,67.75,"685,425",1.58,,2.39
AFGB,American Financial Group Inc 5.875%,27.69,27.18,27.69,"21,157",0.6,,2.21
AFGC,American Financial Group Inc 5.125%,26.59,26.32,26.59,"3,960",0.41,,1.57
AFGD,American Financial Group Inc 5.625%,26.8,26.64,26.8,"23,983",0.27,,1.02
AFGH,American Financial Group Inc,25.29,25.26,25.26,"8,059",0.02,,0.08
AFI,Armstrong Flooring Inc,3.89,3.69,3.83,"104,229",0.08,,2.13
AFL,Aflac Incorporated,37.55,36.98,37.04,"3,473,665",0.1,,0.27
AFT,Apollo Senior Floating Rate Fund Inc,12.86,12.76,12.85,"35,018",0.06,,0.47
AG,First Majestic Silver,11.87,11.49,11.85,"3,611,629",0.47,,4.13
AGCO,Agco Corp,75.54,73.51,74.94,"570,658",1.94,,2.66
AGD,Alpine Global Dynamic Dividend Fund,9.43,9.29,9.41,"18,092",0.22,,2.39
AGI,Alamos Gold Inc,10.19,9.9,10.13,"2,381,398",0.33,,3.37
AGM,Federal Agricultural Mortgage Corp,70.06,68.07,68.09,"45,287",-1.39,,2
AGM-A,Federal Agricultural Mortgage Corp,25.25,25.23,25.24,"2,917",0.01,,0.03
AGM-C,Federal Agricultural Mortgage Corp,27.01,27.01,27.01,400,0,,0.01
AGM-D,Federal Agricultural Mortgage Corp,26.54,26.21,26.48,"12,906",0.09,,0.34
AGM-E,Federal Agricultural Mortgage Corp,26.74,26.67,26.74,"1,200",0.09,,0.34
AGM-F,Federal Agricultural Mortgage Corp,25.84,25.65,25.8,"92,343",0.19,,0.74
AGM.A,Federal Agricultural Mortgage Corp,58.16,58.16,58.16,506,-3.84,,6.19
AGO,Assured Guaranty Ltd,21.04,20.24,20.62,"719,431",-0.13,,0.63
AGO-B,Assured Guaranty Municipal Hlds IN,26.74,26.2,26.3,"1,269",0.31,,1.19
AGO-E,Assured Guaranty Municipal Hlds IN,26.15,25.81,25.92,"5,780",0.17,,0.66
AGO-F,Assured Guaranty Municipal Hlds IN,25.5,25.27,25.5,"3,309",0.25,,0.99
AGR,Avangrid Inc,49.56,48.69,49.05,"368,413",0.6,,1.24
AGRO,Adecoagro S.A.,5.29,5.07,5.15,"601,411",0.08,,1.58
AGS,Playags Inc,3.79,3.64,3.77,"262,806",0.07,,1.89
AGX,Argan Inc,42.64,41.29,41.88,"69,094",0.47,,1.13
AHC,A.H. Belo Corp,1.48,1.39,1.4,"68,933",-0.07,,4.76
AHH,Armada Hoffler Properties Inc,10.21,9.98,10.03,"148,388",0.09,,0.91
AHH-A,Armada Hoffler Pptys Inc [Ahh/Pa],23.8,23.65,23.71,"10,457",0.06,,0.25
AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc],25.1,24.5,25.07,"27,798",0.74,,3.04
AHL-D,Aspen Insurance Holdings Ltd [Ahl/Pd],24.85,24.7,24.85,"7,436",0.44,,1.8
AHL-E,Aspen Insurance Holdings Ltd [Ahl/Pe],24.57,23.86,24.49,"44,577",0.65,,2.73
AHT,Ashford Hospitality Trust Inc,2.57,2.33,2.49,"980,270",-0.44,,15.02
AHT-D,Ashford Hospitality TR Inc [Aht/Pd],6.45,5.215,5.3,"32,570",0.2,,3.92
AHT-F,Ashford Hospitality TR Inc [Aht/Pf],5.75,4.51,4.51,"35,145",0.29,,6.87
AHT-G,Ashford Hospitality TR Inc [Aht/Pg],6,4.65,4.65,"42,703",0.28,,6.41
AHT-H,Ashford Hospitality TR Inc [Aht/Ph],6.02,4.72,4.72,"67,347",0.44,,10.28
AHT-I,Ashford Hospitality TR Inc [Aht/Pi],6,4.74,4.78,"48,757",0.45,,10.39
AI,Arlington Asset Investment Corp,2.72,2.67,2.69,"275,892",-0.02,,0.74
AI-B,Arlington Asset Investment Corp [Ai/Pb],18.37,18,18.37,"1,356",-0.25,,1.34
AI-C,Arlington Asset Investment Corp [Ai/Pc],19.43,19.16,19.35,"2,956",-0.04,,0.21
AIC,Arlington Asset Investment Cor,23.5,22.76,23.39,"9,521",-0.01,,0.04
AIF,Apollo Tactical Income Fund Inc,12.73,12.65,12.7,"63,066",0.07,,0.55
AIG,American International Group,29.25,28.43,29.15,"7,019,579",0.26,,0.9
AIG-A,American International Group Inc,27.33,27.13,27.25,"14,879",0.03,,0.11
AIG.W,American Intl Group Inc WT [Aig/W],0.43,0.36,0.37,"385,398",-0.04,,9.76
AIN,Albany International Corp,51.13,49.53,50.5,"159,997",-0.23,,0.45
AIO,Allianzgi Artificial Intelligence &,21.19,20.8,21.15,"102,031",0.47,,2.27
AIR,AAR Corp,19.76,18.52,18.63,"275,325",-0.96,,4.9
AIT,Applied Industrial Technologies,60.2,58.66,59.5,"165,596",0.2,,0.34
AIV,Apartment Investment and Management,37.16,35.81,36.07,"1,404,582",-0.73,,1.98
AIW,Arlington Asset Investment Cor,24.2,23.97,24.2,"4,291",0.22,,0.92
AIZ,Assurant Inc,123.1,120.6,121.4,"449,283",1,,0.86
AIZP,Assurant Inc 6.50% Series D Mandatory,118.7,118.1,118.2,"19,418",0.3,,0.26
AJG,Arthur J. Gallagher & Company,104.3,101.8,103.2,"647,092",2.2,,2.13
AJRD,Aerojet Rocketdyne Holdings,41.49,40.33,40.71,"456,532",-0.15,,0.37
AJX,Great Ajax Corp,9.4,9.23,9.34,"79,317",0.05,,0.54
AJXA,Great Ajax Corp 7.25% Convertible Senior,23.85,23.85,23.85,235,0.12,,0.51
AKO.A,Embotell Andina Sa Cl A,11.9,11.8,11.8,"1,424",0.05,,0.43
AKO.B,Embotell Andna Sa Cl B,14.28,13.24,13.61,"2,700",-0.36,,2.57
AKR,Acadia Realty Trust,12.29,11.82,11.86,"783,134",-0.26,,2.15
AL,Air Lease Corp Cl A,32,30.51,31.31,"483,453",-0.58,,1.82
AL-A,Air Lease Corp [Al/Pa],23.25,22.8,23.25,"12,185",0.36,,1.57
ALB,Albemarle Corp,96.75,94.03,95.42,"605,008",2.28,,2.45
ALC,Alcon Inc,56.11,55.64,55.7,"826,758",0.47,,0.85
ALE,Allete Inc,53.96,52.03,52.1,"366,638",-1,,1.88
ALEX,Alexander and Baldwin Inc,12.12,11.6,11.79,"239,822",-0.15,,1.26
ALG,Alamo Group,109.8,107.9,109,"38,718",-0.3,,0.23
ALI-A,Altera Infrastructure LP Pfd A,15.86,15.52,15.65,"8,887",0.28,,1.82
ALI-B,Altera Infrastructure LP Units,16.6,16.4,16.43,"7,245",0.21,,1.29
ALI-E,Altera Infrastructure LP Pfd E,16.43,16.3,16.41,"3,379",0.46,,2.88
ALK,Alaska Air Group,41.22,39.68,40.67,"2,071,989",-0.93,,2.24
ALL,Allstate Corp,93.69,91.61,92.54,"1,560,550",1.29,,1.41
ALL-B,Allstate Corp [All/Pb],26.56,26.35,26.41,"30,118",0.06,,0.23
ALL-G,Allstate Corp [All/Pg],28,27.8,27.97,"14,493",0.09,,0.32
ALL-H,Allstate Corp [All/Ph],27.18,27,27.12,"71,808",0.14,,0.52
ALL-I,Allstate Corp 4.75% Prf Perpetual USD 25,27.02,26.79,26.87,"29,704",0.04,,0.15
ALL-Y,GMAC Capital Trust I [Ally/Pa],24.9,24.7,24.72,"249,673",0.04,,0.16
ALLE,Allegion Plc,100.04,98.53,98.69,"580,647",0.69,,0.7
ALLY,Ally Financial,24.49,24.1,24.11,"3,617,423",-0.1,,0.41
ALP-Q,Alabama Power Co. [Alp/Pq],27.85,27.67,27.8,"4,830",0.17,,0.62
ALSN,Allison Transmission Holdings,35.56,34.9,35.25,"1,078,789",0.16,,0.46
ALT.W,Alta Equipment Group Inc [Altg/W],1.869,1.84,1.85,"26,500",0.1,,5.71
ALTG,Alta Equipment Group Inc.,8.91,8.7,8.71,"63,444",-0.13,,1.47
ALU.U,Alussa Energy Acquisition Corp [Alus.U],10.2,10.2,10.2,100,0,,0
ALU.W,Alussa Energy Acquisition Corp [Alus/W],0.82,0.79,0.82,"12,131",0.02,,2.5
ALUS,Alussa Energy Acquisition Corp Cl A,9.93,9.89,9.9,"85,881",0.02,,0.2
ALV,Autoliv Inc,78.74,78.05,78.48,"272,273",0.95,,1.23
ALX,Alexander's Inc,266,259.7,260.5,"15,734",-1.4,,0.52
AM,Antero Midstream Corp,5.93,5.72,5.73,"5,631,227",-0.13,,2.22
AMB.W,Ambac Financial Group,5.25,5.16,5.16,898,0.16,,3.2
AMBC,Ambac Financial Group,12.72,12.13,12.14,"318,323",-0.32,,2.57
AMC,Amc Entertainment Holdings Inc,6.54,6.11,6.26,"5,373,392",-0.16,,2.49
AMCR,Amcor Plc,11.1,10.85,11.01,"6,794,011",0.24,,2.23
AME,Amtek Inc,100.02,97.83,99.35,"666,186",2.36,,2.43
AMG,Affiliated Managers Group,69.26,67.26,68.52,"413,888",0.38,,0.56
AMH,American Homes 4 Rent,29.29,28.63,29.2,"1,871,346",0.76,,2.67
AMH-D,American Homes 4 Rent [Amh/Pd],26,25.92,26,"2,853",0.27,,1.05
AMH-E,American Homes 4 Rent [Amh/Pe],25.98,25.8,25.89,"3,872",0.1,,0.39
AMH-F,American Homes 4 Rent [Amh/Pf],26.58,26.58,26.58,"4,937",0.08,,0.3
AMH-G,American Homes 4 Rent [Amh/Pg],26.3,26.06,26.29,"2,800",-0.03,,0.11
AMH-H,American Homes 4 Rent [Amh/Ph],27.78,27.68,27.68,985,0.11,,0.4
AMK,Assetmark Financial Holdings Inc,23.68,23.28,23.34,"104,397",0.23,,1
AMN,Amn Healthcare Services Inc,54.96,53.91,54.56,"290,038",0.06,,0.11
AMOV,America Movil A ADR,12.21,12.05,12.21,"2,247",0.3,,2.52
AMP,Ameriprise Financial Services,151.5,148.4,150.1,"604,902",0.6,,0.39
AMPY,Amplify Energy Corp,1.08,1,1.04,"686,425",-0.02,,1.89
AMRC,Ameresco Inc,30.42,29.67,30.14,"170,613",0.52,,1.76
AMRX,Amneal Pharmaceuticals Inc,3.8,3.51,3.69,"1,176,891",0.15,,4.24
AMT,American Tower Corp,255.3,249.5,252.4,"2,122,837",5.6,,2.27
AMX,America Movil S.A.B. DE C.V.,12.4,12.07,12.37,"2,986,968",0.38,,3.17
AN,Autonation Inc,57,55.56,56.75,"337,989",0.62,,1.1
ANET,Arista Networks Inc,213.1,208.1,211.8,"727,322",4.6,,2.23
ANF,Abercrombie & Fitch Company,14.56,13.83,14.54,"2,675,953",0.31,,2.18
ANH,Anworth Mortgage Asset Corp,1.8,1.76,1.76,"339,268",0,,0
ANH-A,Anworth Mortgage Asset Cp [Anh/Pa],23.79,23.25,23.66,"1,240",0.23,,0.98
ANH-B,Anworth Mortgage Asset Cp [Anh/Pb],17.85,17.61,17.85,800,0.19,,1.08
ANH-C,Anworth Mortgage Asset Cp [Anh/Pc],21.98,21.69,21.88,"4,818",0.25,,1.16
ANTM,Anthem Inc,269.4,264.6,267.4,"981,345",1.2,,0.44
AOD,Alpine Total Dynamic Dividend,8.07,7.94,8.03,"275,692",0.15,,1.9
AON,AON Plc,205.6,199.4,203.6,"1,131,318",5.6,,2.84
AON.U,One Unit 1 Com & 1/3 WT Exp [Aone.U],10.45,10.32,10.41,"77,714",0.03,,0.29
AOS,Smith [A.O.] Corp,48.39,47.65,48.25,"1,121,512",0.99,,2.09
AP,Ampco-Pittsburgh Corp,3.53,3.4,3.44,"48,510",-0.02,,0.58
APAM,Artisan Partners Asset Mgmt,36.71,35.83,36.45,"402,367",0.84,,2.36
APD,Air Products and Chemicals,306.8,298.1,303.3,"997,173",8.8,,2.97
APG,Api Group Corp,14.38,13.88,14.24,"504,052",0.46,,3.34
APH,Amphenol Corp,107.8,105.9,106.8,"2,404,165",1.7,,1.64
APLE,Apple Hospitality REIT Inc,10.47,10.24,10.33,"2,334,113",-0.02,,0.19
APO,Apollo Global Management Llc C,45.75,44.12,45.33,"716,806",0.69,,1.55
APO-A,Apollo Global Mgmt Inc [Apo/Pa],26.5,26.2,26.5,"3,266",0.3,,1.15
APO-B,Apollo Global Mgmt Inc [Apo/Pb],27.19,26.8,27.19,"7,190",0.35,,1.3
APRN,Blue Apron Holdings Inc,7.15,6.86,7.05,"617,403",0.33,,4.91
APT-A,Aptiv Plc,109.5,109.1,109.2,"1,445",1.4,,1.32
APTS,Preferred Apartment Communities,6.76,6.57,6.6,"357,667",-0.01,,0.15
APTV,Aptiv Plc,86.63,85.39,85.65,"1,378,744",0.99,,1.17
AQN,Algonquin Pwr & Util,14.13,13.86,14.03,"485,399",0.29,,2.11
AQNA,Algonquin Power & Utilities Corp,27.15,26.92,27.13,"84,360",0.17,,0.63
AQNB,Algonquin Power & Utilities Corp 6.20%,27.84,27.45,27.82,"7,606",0.26,,0.94
AQUA,Evoqua Water Technologies Corp,20.16,19.01,19.98,"880,811",0.95,,4.99
AR,Antero Resources Corp,2.8,2.65,2.76,"9,574,951",0.04,,1.47
ARA,American Renal Associates,6.35,6.09,6.22,"51,369",-0.06,,0.96
ARC,American Reprographics Company,1.08,1.02,1.03,"141,612",-0.03,,2.83
ARCH,Arch Coal Inc,40.7,39.22,39.85,"153,604",0.66,,1.68
ARCO,Arcos Dorados Holdings Inc,4.42,4.27,4.38,"1,113,717",0.11,,2.58
ARD,Ardagh Group S.A.,15.37,14.78,14.79,"35,470",-0.28,,1.86
ARDC,Ares Dynamic Credit Allocation,12.78,12.6,12.78,"63,523",0.13,,1.03
ARE,Alexandria Real Estate Equities,165.7,161.6,162.9,"802,279",0.9,,0.55
ARE-A,Ares Management Corp [Ares/Pa],26.29,26.2,26.25,"13,393",0.1,,0.38
ARES,Ares Management LP,39.43,38.58,39.36,"558,566",0.88,,2.29
ARG-A,Argo Group International Holdings Ltd,25.4,25.19,25.37,"60,450",0.13,,0.52
ARGD,Argo Grp Itl Snr NTS,25.56,25.4,25.56,"1,812",0.13,,0.51
ARGO,Argo Group Intl Hlds,36.75,35.82,36.13,"94,955",0.16,,0.44
ARI,Apollo Commercial Real Estate,9.1,8.81,9.04,"1,419,883",0.13,,1.46
ARL,American Realty Investors,9.29,8.5,8.96,"3,280",0.04,,0.45
ARLO,Arlo Technologies Inc,5.55,5.11,5.34,"1,091,087",0.24,,4.71
ARMK,Aramark Holdings Corp,29.36,28.2,28.77,"1,987,181",0.83,,2.97
ARNC,Arconic Corp,22.3,20.67,21.15,"824,777",-0.25,,1.17
AROC,Archrock Inc,6.1,5.89,6.05,"738,335",0.07,,1.17
ARR,Armour Residential R,9.95,9.74,9.88,"719,010",0.12,,1.23
ARR-C,Armour Residential REIT Inc 7% Prf,24.1,23.64,23.83,"44,410",0.23,,0.97
ARW,Arrow Electronics,78.94,76.24,78.42,"807,731",2.69,,3.55
ASA,ASA Gold and Precious Metals,23.25,22.56,23.12,"62,572",0.74,,3.31
ASB,Associated Banc-Corp,13.36,13.04,13.14,"1,062,164",-0.13,,0.98
ASB-C,Associated Banc-Corp [Asb/Pc],25.65,25.5,25.5,"5,340",0.01,,0.04
ASB-D,Associated Banc-Corp [Asb/Pd],25.34,25.17,25.34,"6,079",0.17,,0.68
ASB-E,Associated Banc-Corp [Asb/Pe],26.64,26.25,26.58,"45,245",0.25,,0.95
ASB-F,Associated Banc-Corp.,25.75,25.48,25.71,"24,689",0.29,,1.14
ASC,Ardmore Shipping Corp,3.6,3.41,3.48,"304,125",0.05,,1.46
ASG,Liberty All-Star Growth Fund,7.25,6.95,7.17,"198,874",0.26,,3.76
ASGI,Aberdeen Standard Global Infrastructure,19.45,19.11,19.4,"13,276",-0.05,,0.26
ASGN,On Assignment,70.83,69.62,70.51,"148,972",1.1,,1.58
ASH,Ashland Global Holdings Inc,74.71,73.07,74.19,"365,074",0.82,,1.12
ASIX,Advansix Inc,13.35,12.98,13.13,"88,573",-0.03,,0.23
ASPN,Aspen Aerogels Inc,9.28,8.68,8.94,"166,843",0.47,,5.55
ASR,Grupo Aeroportuario Del Sureste,114.1,111.7,112.1,"61,317",-1,,0.89
ASX,Ase Industrial Holding Co. Ltd,4.2,4.11,4.2,"625,106",0.14,,3.45
AT,Atlantic Power Corp,2.06,2.02,2.04,"163,005",0.04,,2
ATC-D,Atlas Corp. [Atlas/Pd],23.68,23.45,23.56,"13,013",0.32,,1.38
ATC-E,Atlas Corp [Atlas/Pe],24.41,24.15,24.41,"14,312",0.44,,1.84
ATC-G,Atlas Corp. [Atlas/Pg],24.22,23.92,24.11,"16,235",0.11,,0.46
ATC-H,Atlas Corp [Atlas/Ph],23.74,23.4,23.6,"9,190",0.33,,1.42
ATC-I,Atlas Corp [Atlas/Pi],23.17,23.06,23.14,"4,983",0.19,,0.83
ATCO,Atlas Corp.,9.02,8.69,8.91,"402,621",0.26,,3.01
ATEN,A10 Networks Inc,7.27,6.99,7.16,"597,368",0.11,,1.56
ATGE,Adtalem Global Education Inc,32.08,31.07,31.27,"196,385",-0.76,,2.37
ATH,Athene Holding Ltd,36.85,35.56,36.4,"1,066,726",0.41,,1.14
ATH-A,Athene Hld Ltd [Ath/Pa],26.33,25.81,26.3,"53,556",0.52,,2.02
ATH-B,Antah Hlds Ltd,25.71,25.3,25.71,"19,538",0.47,,1.86
ATH-C,Athene Hldg Ltd,27.25,26.9,27.24,"28,767",0.34,,1.26
ATHM,Autohome Inc,86.73,84.97,85.95,"317,381",1.38,,1.63
ATI,Allegheny Technologies Inc,9.14,8.6,8.77,"2,135,794",-0.25,,2.77
ATKR,Atkore International Group,26.57,25.79,26.39,"270,739",0.34,,1.31
ATO,Atmos Energy Corp,97.71,96.35,96.65,"673,099",0.53,,0.55
ATR,Aptargroup,118.6,116.6,117.9,"148,345",1.8,,1.58
ATTO,Atento S.A.,10.17,9.65,9.71,"10,531",-0.18,,1.82
ATUS,Altice USA Inc Cl A,26.97,26.32,26.71,"3,941,426",0.36,,1.37
ATV,Acorn International,14.32,13.92,13.92,"2,529",0.12,,0.87
AU,Anglogold Ashanti Ltd,29.53,28.29,29.38,"4,527,862",1.48,,5.3
AUY,Yamana Gold,6.32,6.09,6.31,"19,644,959",0.28,,4.64
AVA,Avista Corp,36.9,36.14,36.17,"521,000",-0.14,,0.39
AVAL,Grupo Aval Acciones Y Valores S,5.04,4.94,4.98,"104,528",0.04,,0.81
AVB,Avalonbay Communities,159.3,155.9,156.3,"1,176,798",-2.1,,1.34
AVD,American Vanguard Corp,14.25,13.94,14.08,"50,383",0.05,,0.36
AVK,Advent Claymore Convertible Securities,14.07,13.74,14,"131,739",0.34,,2.49
AVLR,Avalara Inc,122.6,117.3,121.4,"442,505",3.4,,2.89
AVNS,Avanos Medical Inc,32.38,31.24,32.04,"214,981",0.13,,0.41
AVNT,Avient Corp.,27.66,26.78,27.49,"463,218",0.44,,1.63
AVT-A,Avantor Inc [Avtr/Pa],71.14,69.83,71.14,"4,166",2.15,,3.12
AVTR,Avantor Inc,22.07,21.33,22,"4,338,920",0.92,,4.36
AVY,Avery Dennison Corp,117,114.6,116.4,"429,961",2.3,,2.01
AVYA,Avaya Holdings Corp,15.22,14.06,14.36,"2,042,999",-0.65,,4.33
AWF,Alliancebernstein Global High Income,10.71,10.62,10.68,"192,805",0.09,,0.85
AWI,Armstrong World Industries Inc,71.11,69.63,69.63,"308,467",-1.07,,1.51
AWK,American Water Works,145.1,142,143.2,"633,287",2.4,,1.73
AWP,Alpine Global Premier Propertie,4.87,4.81,4.84,"219,345",0.01,,0.21
AWR,American States Water Company,76.85,74.97,75.64,"143,500",0.34,,0.45
AX,Axos Financial Inc,24.19,23.33,23.61,"214,720",-0.33,,1.38
AXL,American Axle & Manufacturing,7.93,7.58,7.79,"984,641",0.04,,0.52
AXO,Axos Financial Inc,25.71,25.46,25.65,"1,977",-0.22,,0.85
AXP,American Express Company,104.7,102.7,103.8,"2,392,096",0.1,,0.11
AXR,Amrep Corp,4.78,4.66,4.76,"2,442",0.13,,2.81
AXS,Axis Capital Holdings,47.88,46.24,46.82,"904,171",-0.24,,0.51
AXS-E,Axis Capital Holdings Ltd [Axs/Pe],25.66,25.51,25.65,"35,440",0.14,,0.55
AXTA,Axalta Coating Systems Ltd,22.83,22.35,22.63,"2,643,799",0.27,,1.21
AYI,Acuity Brands Inc,106.8,105.1,106.2,"369,102",0.9,,0.88
AYX,Alteryx Inc,113.5,108.5,112.2,"1,299,714",2,,1.79
AZEK,The Azek Company Inc Cl A,35.99,34.01,35.1,"2,281,370",-2.21,,5.92
AZN,Astrazeneca Plc,54.82,53.34,53.64,"10,984,967",-1.07,,1.96
AZO,Autozone,"1,247","1,213","1,233","170,934",22,,1.78
AZRE,Azure Power Global Ltd,28.99,27.12,27.39,"120,144",0.09,,0.33
AZUL,Azul S.A. ADR,15,14.59,14.88,"2,099,919",0.16,,1.09
AZZ,Azz Inc,,,,,,,
B,Barnes Group,36.8,35.56,35.98,"184,555",-0.36,,0.99
BA,Boeing Company,163.1,157,160.8,"21,700,664",-0.3,,0.19
BABA,Alibaba Group Holding,275.6,270.9,273.2,"9,262,384",3.1,,1.16
BAC,Bank of America Corp,25.72,25.23,25.51,"52,986,512",0.03,,0.12
BAC-A,Bank of America Corp [Bac/Pa],26.21,26.12,26.19,"25,269",0.03,,0.11
BAC-B,Bank of America Corp [Bac/Pb],27.46,27.31,27.34,"82,627",0.02,,0.07
BAC-C,Bank of America Corp [Bac/Pc],25.74,25.61,25.65,"83,452",0.01,,0.04
BAC-E,Bank of America Corp [Bac/Pe],24.93,24.75,24.89,"8,512",0.14,,0.57
BAC-K,Bank of America Corp [Bac/Pk],27.13,26.96,27.09,"27,642",0.22,,0.82
BAC-L,Bank of America Corp [Bac/Pl],"1,498","1,482","1,497","1,432",12,,0.78
BAC-M,Bank of America Corp [Bac/Pm],26.89,26.65,26.89,"72,340",0.22,,0.82
BAC-N,Bank of America Corp Prf Perpetual USD,26.59,26.4,26.55,"56,522",0.19,,0.72
BAF,Blackrock Income Inv Quality Trust,14.35,14.14,14.27,"15,843",0.09,,0.63
BAH,Booz Allen Hamilton Holding Corp,86.53,84.36,85.9,"704,746",2.12,,2.53
BAK,Braskem S.A.,8.55,8.29,8.32,"29,005",-0.14,,1.65
BAM,Brookfield Asset Management Inc,33.16,32.67,32.92,"1,319,076",0.47,,1.45
BAN-D,Banc of California Inc [Banc/Pd],25.25,25.2,25.21,"1,222",-0.07,,0.27
BAN-E,Banc of California Inc [Banc/Pe],25.3,25.25,25.3,"2,754",0.1,,0.4
BANC,First Pactrust Bancorp,11.58,11.1,11.18,"164,881",-0.29,,2.53
BAP,Credicorp Ltd,133.1,129.3,130.8,"261,973",1.2,,0.89
BAX,Baxter International Inc,83.46,81.71,82.86,"2,757,876",1.57,,1.93
BB,Blackberry Ltd,5.06,4.91,4.92,"3,589,857",-0.01,,0.2
BBAR,Bbva Banco Frances S.A.,3.49,3.38,3.38,"181,113",-0.05,,1.46
BBD,Banco Bradesco S.A.,4.08,4.01,4.04,"14,749,837",0.03,,0.75
BBDC,Barings Bdc Inc,8.24,8.07,8.16,"63,567",0.04,,0.49
